ind,validado,viejo,nuevo,dif,max_abs
pct_electricidad,True,59.1,80.8,21.39999999999999,63.2
tasa_ocupacion_fem,False,47.1,67.2,18.200000000000003,42.6
tasa_participacion_fem,False,48.4,68.4,18.099999999999994,41.900000000000006
tasa_ocupacion,False,56.3,75.1,17.10000000000001,37.699999999999996
tasa_participacion,False,58.4,76.5,16.700000000000003,36.6
pct_vivienda_propia,True,63.9,84.3,16.60000000000001,46.99999999999999
pct_celular,True,63.9,81.0,16.400000000000006,41.3
pct_cocina_exclusiva,True,59.3,74.9,14.899999999999991,38.699999999999996
pct_revoque,True,52.8,71.5,13.600000000000009,42.2
pct_servicio_sanitario,True,48.8,65.2,12.599999999999994,30.5
pct_techo_calamina,True,52.6,69.7,12.5,47.199999999999996
pct_radio,True,44.5,58.0,11.800000000000004,31.1
pct_internet,True,44.6,58.0,11.600000000000009,33.599999999999994
pct_agua_caneria,True,42.8,55.4,11.100000000000001,35.599999999999994
pct_internet_movil,True,43.4,55.7,11.0,33.39999999999999
pct_gas_garrafa,True,40.8,51.7,10.100000000000001,35.599999999999994
pct_pared_adobe,True,36.9,49.9,9.200000000000003,36.300000000000004
pct_tv,True,36.6,45.7,8.900000000000002,27.700000000000003
pct_pared_ladrillo,True,28.8,37.3,7.5,34.4
pct_piso_tierra,True,31.0,39.7,7.400000000000002,37.800000000000004
pct_madres_adolescentes,False,16.9,9.6,-7.4,33.3
pct_monoambiente,True,28.8,37.2,7.099999999999994,31.9
pct_combustible_solido,True,29.5,38.3,6.8999999999999915,36.7
pct_agua_interior,True,25.6,33.3,6.500000000000002,24.9
pct_hacinamiento,True,11.6,18.8,6.4,24.9
pct_sector_servicios,False,32.8,26.4,-6.299999999999997,16.799999999999997
pct_trab_familiar,True,4.5,10.5,5.9,23.4
pct_hogar_unipersonal,True,22.0,29.1,5.899999999999999,19.3
pct_asalariados,False,25.4,19.6,-5.699999999999999,18.1
pct_bicicleta,True,20.7,26.2,5.200000000000003,30.199999999999996
pct_refrigerador,False,20.6,25.8,5.0,21.699999999999996
pct_edu_secundaria,True,40.0,45.7,5.0,14.599999999999994
pct_pozo_ciego,True,23.8,29.9,4.899999999999999,18.900000000000006
pct_basura_formal,True,17.4,22.5,4.599999999999998,25.89999999999999
pct_moto,True,15.9,21.3,4.399999999999999,19.4
pct_hijos_fallecidos,False,6.6,10.7,4.3,17.9
pct_auto,True,15.5,20.3,3.9000000000000004,16.1
pct_sin_energia,True,14.6,19.2,3.6000000000000014,25.4
pct_sector_primario,True,53.8,58.1,3.5,16.5
pct_alcantarillado,True,12.9,17.3,3.3000000000000007,23.0
pct_edu_primaria,True,25.1,28.1,3.3000000000000007,7.0
tasa_asistencia_4_5,False,81.4,85.1,3.1999999999999886,11.899999999999999
pct_autoident_indigena,False,66.1,71.0,2.8999999999999915,9.600000000000001
pct_secundaria_mas,True,62.4,65.7,2.8999999999999915,8.900000000000006
pct_agua_no_mejorada,True,10.6,14.0,2.8000000000000007,20.599999999999998
pct_trabaja_fuera,False,11.0,8.1,-2.8,9.100000000000001
pct_seguro_salud,False,82.5,85.2,2.5999999999999943,8.099999999999994
pct_comercio,True,12.4,9.9,-2.5,7.900000000000002
pct_hogar_extendido,True,18.5,21.6,2.400000000000002,28.7
pct_computadora,True,9.6,12.2,2.4000000000000004,15.0
pct_sector_secundario,True,13.4,10.5,-2.1999999999999993,9.0
pct_educacion_publica,False,94.8,97.7,2.0,12.799999999999997
pct_tv_cable,True,8.2,10.5,2.0,10.399999999999999
pct_agua_pozo,True,7.5,9.7,1.9000000000000004,27.0
pct_hogar_fallecido,False,7.1,9.2,1.8000000000000007,7.9
tasa_asistencia_18_24,False,36.4,38.0,1.6999999999999993,5.600000000000001
pct_cuenta_propia,True,56.8,54.5,-1.5,12.600000000000001
pct_techo_paja,True,6.2,8.0,1.5,20.000000000000004
pct_edu_superior,True,15.6,17.1,1.5,5.9999999999999964
pct_idioma_materno_castellano,True,70.1,68.0,-1.5,11.0
pct_con_emigrante,False,5.3,6.9,1.3999999999999995,11.599999999999998
pct_lavadora,False,4.5,5.7,1.2999999999999998,19.9
tasa_desocupacion,False,3.1,1.8,-1.0999999999999999,10.7
pct_internet_fijo,True,4.1,5.1,1.0999999999999996,15.5
pct_techo_teja,True,4.3,5.4,1.0,26.700000000000003
pct_alquiler,True,3.2,4.3,0.9000000000000004,6.5
pct_quechua,False,5.1,6.5,0.8000000000000114,8.0
pct_migrante_reciente,False,13.2,12.1,-0.8000000000000007,6.199999999999999
pct_emi_argentina,False,25.5,25.0,-0.8000000000000007,10.599999999999994
pct_camara_septica,True,3.0,4.0,0.7999999999999998,7.899999999999999
pct_sin_educacion,True,5.3,6.0,0.7000000000000002,4.5
pct_microondas,False,2.6,3.3,0.7,10.699999999999996
pct_emi_chile,False,26.55,25.4,-0.6999999999999975,22.799999999999997
prom_anios_estudio,True,8.2,8.919,0.6550000000000011,1.2010000000000005
tasa_mortalidad,False,6.37,7.1,0.5600000000000003,7.090000000000002
tam_hogar,False,2.3,2.93,0.5429999999999997,2.0409999999999995
pct_asistencia_escolar,True,93.1,93.7,0.5,5.400000000000006
pct_emi_brasil,False,15.5,14.95,-0.5,15.700000000000003
pct_muertes_covid,False,12.2,11.7,-0.5,2.1999999999999993
pct_nacido_otro_municipio,False,30.5,31.2,0.4999999999999982,1.3000000000000043
pct_cedula_identidad,False,99.3,98.9,-0.4000000000000057,5.599999999999994
pct_aymara,False,1.3,1.8,0.3999999999999999,8.799999999999997
pct_panel_solar,True,1.5,2.0,0.3999999999999999,11.599999999999998
fecundidad,False,1.76,2.141,0.3979999999999999,1.0340000000000003
pct_telefono_fijo,True,1.2,1.5,0.30000000000000004,5.100000000000001
pct_empleadores,True,1.3,1.0,-0.30000000000000004,2.3
pct_disc_ver,False,3.0,2.7,-0.2999999999999998,0.7999999999999998
pct_idioma_materno_originario,True,28.5,29.2,0.29999999999999893,7.0
pct_emi_espana,False,8.6,8.1,-0.29999999999999893,5.199999999999999
pct_disc_caminar,False,2.5,2.3,-0.20000000000000018,0.7000000000000002
pct_admin_publica,True,1.1,0.9,-0.19999999999999996,1.3999999999999995
pct_bote,True,0.6,0.8,0.19999999999999996,5.700000000000003
pct_choza,True,3.1,2.6,-0.1999999999999993,3.8999999999999995
pct_registro_civil,False,99.4,99.3,-0.19999999999998863,1.9000000000000057
