cod_ine,inmigrantes_vida,emigrantes_internos_vida,saldo_migratorio_vida,inmigrantes_5a,emigrantes_internos_5a,saldo_migratorio,entran_a_trabajar,salen_a_trabajar,poblacion_flotante,trabajan_en_su_municipio
010101,70418,61098,9320,16828,21863,-5035,4333,5430,-1097,123062
010102,2333,3543,-1210,973,382,591,321,705,-384,3559
010103,1345,5009,-3664,642,729,-87,202,443,-241,4345
010201,674,12613,-11939,362,1188,-826,118,72,46,2463
010202,1405,5244,-3839,649,798,-149,139,277,-138,4995
010301,1609,7737,-6128,818,572,246,171,316,-145,5425
010302,792,3146,-2354,459,371,88,110,504,-394,4028
010303,714,3316,-2602,295,409,-114,82,96,-14,3894
010304,754,3406,-2652,312,403,-91,87,304,-217,3039
010401,1626,9634,-8008,808,916,-108,192,159,33,3868
010402,1418,7260,-5842,485,582,-97,96,141,-45,3434
010403,1073,3280,-2207,550,402,148,86,168,-82,1864
010404,925,1737,-812,367,184,183,21,159,-138,1322
010405,828,1992,-1164,296,205,91,37,21,16,1991
010501,6125,17999,-11874,1567,2614,-1047,354,267,87,10985
010502,1562,4745,-3183,360,622,-262,71,41,30,2813
010601,1355,8653,-7298,730,1107,-377,396,476,-80,5217
010602,1234,8573,-7339,617,517,100,336,433,-97,3156
010701,1973,10338,-8365,750,1270,-520,269,235,34,6574
010702,1737,11509,-9772,956,1466,-510,280,434,-154,8153
010703,1436,3727,-2291,471,473,-2,123,192,-69,7050
010704,1869,2636,-767,624,563,61,118,267,-149,5194
010801,1573,7694,-6121,619,757,-138,84,181,-97,3539
010901,1398,1055,343,433,109,324,32,131,-99,2314
010902,1753,5575,-3822,577,792,-215,186,172,14,5921
010903,1189,1042,147,395,94,301,59,154,-95,1921
011001,3897,3862,35,71,664,-593,140,176,-36,4871
011002,673,820,-147,138,148,-10,33,89,-56,776
011003,2725,2286,439,1048,593,455,141,155,-14,2511
020101,83776,234112,-150336,31079,64169,-33090,58377,18777,39600,357343
020102,2286,5139,-2853,963,1426,-463,843,906,-63,9936
020103,5562,1903,3659,2444,603,1841,587,1809,-1222,9189
020104,15416,2758,12658,7530,1545,5985,1526,6885,-5359,14091
020105,218754,86056,132698,42226,71240,-29014,41376,47963,-6587,366666
020201,3901,14645,-10744,2391,2070,321,1125,2618,-1493,18679
020202,1624,4744,-3120,1078,416,662,245,1002,-757,6239
020203,1228,3118,-1890,690,347,343,307,759,-452,3046
020204,1365,3074,-1709,928,293,635,144,943,-799,2632
020205,1290,1040,250,823,143,680,129,881,-752,1151
020206,1655,871,784,1192,126,1066,121,762,-641,2190
020301,2363,7084,-4721,1394,693,701,370,761,-391,5208
020302,2718,3475,-757,1594,414,1180,293,895,-602,5805
020303,2079,2356,-277,1192,341,851,376,631,-255,3988
020304,756,1334,-578,342,107,235,115,238,-123,1706
020305,655,858,-203,231,100,131,89,80,9,1439
020306,913,388,525,357,157,200,54,251,-197,2494
020307,704,241,463,389,24,365,30,216,-186,1314
020308,1070,1567,-497,624,190,434,124,431,-307,3108
020401,1600,5701,-4101,1159,463,696,247,631,-384,4760
020402,1124,5871,-4747,761,616,145,300,620,-320,6776
020403,1806,4620,-2814,1275,409,866,264,717,-453,6560
020404,319,2067,-1748,217,185,32,102,181,-79,2256
020405,978,3395,-2417,700,300,400,258,546,-288,3094
020501,1249,3106,-1857,717,471,246,207,357,-150,7891
020502,786,2355,-1569,474,346,128,120,199,-79,3466
020503,991,976,15,589,174,415,137,99,38,2996
020601,4340,8172,-3832,2072,1114,958,788,676,112,12337
020602,5225,4127,1098,1799,1240,559,562,248,314,7647
020603,2451,1210,1241,946,348,598,202,120,82,3987
020604,468,739,-271,229,97,132,47,91,-44,1617
020605,329,569,-240,211,54,157,54,143,-89,1643
020606,2935,2932,3,999,870,129,216,77,139,3610
020607,7932,2218,5714,3201,1362,1839,524,191,333,9532
020608,5130,1486,3644,1785,648,1137,368,241,127,6438
020701,2841,7175,-4334,1823,1498,325,334,154,180,7509
020702,1039,941,98,704,263,441,343,103,240,3975
020801,38465,11191,27274,16245,4691,11554,3505,13321,-9816,35032
020802,1600,4132,-2532,1219,422,797,262,485,-223,3340
020803,1334,4287,-2953,765,395,370,403,594,-191,5279
020804,1271,1236,35,511,233,278,553,258,295,3073
020805,1142,1402,-260,595,113,482,98,422,-324,3274
020806,1855,4809,-2954,1076,473,603,309,754,-445,6193
020807,1272,2058,-786,827,146,681,129,349,-220,2774
020901,1192,3262,-2070,484,370,114,258,229,29,5620
020902,2018,3107,-1089,828,480,348,314,498,-184,8808
020903,1159,1797,-638,720,205,515,142,466,-324,4680
020904,723,598,125,472,77,395,67,225,-158,2006
020905,1644,2284,-640,620,303,317,195,187,8,6748
021001,2047,26703,-24656,1036,1970,-934,629,250,379,8490
021002,2024,3706,-1682,1129,471,658,317,208,109,4920
021003,3701,1361,2340,994,477,517,232,144,88,8463
021004,2764,11864,-9100,1383,1187,196,646,454,192,8289
021005,493,1785,-1292,208,262,-54,136,124,12,3746
021006,1083,510,573,350,101,249,41,209,-168,3371
021101,3463,6131,-2668,1041,1783,-742,531,233,298,10641
021102,6040,3661,2379,2209,1016,1193,483,355,128,12618
021103,2313,1262,1051,809,231,578,157,300,-143,3504
021104,9208,4721,4487,2514,2426,88,693,453,240,14433
021105,14620,3611,11009,3200,2367,833,895,210,685,26338
021201,6643,7604,-961,3886,1079,2807,858,3131,-2273,17971
021202,9488,4813,4675,5604,792,4812,831,3866,-3035,11380
021203,2409,4723,-2314,1302,674,628,665,1507,-842,7192
021204,864,1335,-471,469,178,291,112,362,-250,3191
021301,3698,4949,-1251,1714,680,1034,404,1399,-995,13917
021302,1186,2495,-1309,657,344,313,177,430,-253,3847
021303,1038,1837,-799,580,234,346,188,676,-488,4677
021304,1734,2880,-1146,955,873,82,496,1018,-522,5183
021305,4751,6216,-1465,2101,1403,698,1302,977,325,10804
021306,848,861,-13,385,180,205,152,725,-573,3799
021307,733,675,58,347,99,248,61,414,-353,1539
021401,7713,5578,2135,2945,1593,1352,808,788,20,14305
021402,4320,3099,1221,1169,1057,112,412,309,103,13744
021501,5138,2036,3102,1856,956,900,384,168,216,5275
021502,3049,2370,679,1073,808,265,220,353,-133,3708
021601,1686,2601,-915,925,371,554,259,405,-146,5538
021602,628,369,259,419,65,354,28,210,-182,1680
021701,1922,6605,-4683,1306,859,447,500,577,-77,6809
021702,1815,1539,276,1158,254,904,242,560,-318,3445
021703,692,539,153,205,46,159,71,270,-199,3199
021801,1092,1052,40,778,144,634,99,227,-128,4369
021802,667,1682,-1015,299,519,-220,96,201,-105,2850
021803,304,675,-371,146,80,66,68,99,-31,743
021901,722,1896,-1174,412,207,205,188,230,-42,2814
021902,595,365,230,375,66,309,38,165,-127,2237
022001,14333,19922,-5589,5278,5553,-275,1699,1051,648,30621
022002,3691,2770,921,902,915,-13,393,212,181,5892
030101,142401,222363,-79962,34037,66178,-32141,61415,21132,40283,286475
030201,2309,16915,-14606,1080,2025,-945,415,339,76,10746
030202,908,2504,-1596,466,214,252,73,89,-16,2634
030203,1903,1776,127,466,321,145,107,149,-42,3367
030301,2112,20893,-18781,1254,1678,-424,541,245,296,10226
030302,1000,7325,-6325,622,779,-157,390,312,78,7071
030303,3073,3980,-907,1473,856,617,390,244,146,9808
030401,2788,6105,-3317,1178,1136,42,817,608,209,4246
030402,751,4229,-3478,420,437,-17,238,339,-101,2665
030403,14139,759,13380,5746,524,5222,595,4015,-3420,8099
030404,337,1216,-879,138,145,-7,148,185,-37,2084
030501,2915,9641,-6726,653,1170,-517,442,1116,-674,4470
030502,857,5180,-4323,451,595,-144,287,472,-185,4002
030601,584,11996,-11412,332,1077,-745,291,282,9,3515
030602,860,4323,-3463,613,608,5,232,374,-142,3718
030701,4278,12100,-7822,1045,2137,-1092,910,674,236,8247
030702,2423,2073,350,947,455,492,915,461,454,2771
030703,584,700,-116,182,500,-318,129,116,13,1767
030801,5291,10154,-4863,931,1802,-871,1607,1497,110,8079
030802,1490,1371,119,375,426,-51,244,538,-294,2786
030803,4544,694,3850,2162,416,1746,381,1083,-702,2521
030901,63445,43398,20047,13156,16775,-3619,14143,15503,-1360,56123
