cod_ine,emigrantes,edad_prom_emigracion,pct_emi_argentina,_den_pct_emi_argentina,pct_emi_brasil,_den_pct_emi_brasil,pct_emi_chile,_den_pct_emi_chile,pct_emi_espana,_den_pct_emi_espana,pct_emi_eeuu,_den_pct_emi_eeuu,_den_edad_prom_emigracion,fallecidos,edad_prom_fallecimiento,pct_muertes_covid,_den_pct_muertes_covid,_den_edad_prom_fallecimiento,fallecidos_2023,emigrantes_x1000,tasa_mortalidad
010101,11657,27.39666547788873,25.41820365445655,11657,8.072402848074118,11657,45.74933516342112,11657,12.13005061336536,11657,2.8909668010637386,11657,11657,8444,64.69448838058157,16.094268119374703,8444,8444,1748,39.2827536007225,5.8905596031623
010102,832,27.86139896373057,45.3125,832,4.447115384615385,832,33.65384615384615,832,10.45673076923077,832,3.9663461538461537,832,832,388,63.6449864498645,8.505154639175258,388,388,89,89.88764044943821,9.615384615384615
010103,469,24.621145374449338,18.550106609808104,469,22.601279317697227,469,54.58422174840085,469,1.279317697228145,469,0.6396588486140725,469,469,426,62.477832512315274,6.807511737089202,426,426,113,34.36149168437248,8.278994798153711
010201,270,23.12406015037594,22.22222222222222,270,15.555555555555555,270,57.407407407407405,270,2.962962962962963,270,0.37037037037037035,270,270,247,62.31304347826087,5.668016194331984,247,247,85,34.16424142730609,10.75540933822599
010202,395,23.96286472148541,18.9873417721519,395,22.27848101265823,395,52.91139240506329,395,2.5316455696202533,395,0.5063291139240507,395,395,330,61.203947368421055,9.393939393939394,330,330,80,23.4951225315251,4.758505829169641
010301,270,24.372549019607842,40.74074074074074,270,9.25925925925926,270,43.7037037037037,270,4.444444444444445,270,0.37037037037037035,270,270,255,64.0,6.2745098039215685,255,255,52,19.71666423251059,3.797283481816854
010302,197,24.296296296296298,21.82741116751269,197,26.395939086294415,197,43.65482233502538,197,3.045685279187817,197,0.5076142131979695,197,197,251,62.65714285714286,3.585657370517928,251,251,58,15.71098173698062,4.6255682271313505
010303,275,25.205992509363295,25.818181818181817,275,26.545454545454547,275,40.72727272727273,275,5.090909090909091,275,0.0,275,275,246,66.97083333333333,7.317073170731708,246,246,69,30.369961347321922,7.620099392600773
010304,315,23.168284789644012,29.523809523809526,315,27.61904761904762,315,32.06349206349206,315,7.619047619047619,315,1.5873015873015872,315,315,225,62.235023041474655,6.666666666666667,225,225,64,34.407427635172034,6.990715456034954
010401,360,26.04692082111437,28.055555555555557,360,6.388888888888889,360,52.5,360,6.111111111111111,360,2.7777777777777777,360,360,314,64.88118811881188,9.235668789808917,314,314,74,39.1644908616188,8.050478677110531
010402,252,25.206477732793523,33.333333333333336,252,24.603174603174605,252,34.12698412698413,252,6.349206349206349,252,0.7936507936507936,252,252,244,61.855932203389834,5.327868852459017,244,244,52,29.61570102244682,6.11117640145728
010403,153,26.49342105263158,22.22222222222222,153,10.457516339869281,153,54.90196078431372,153,7.189542483660131,153,1.3071895424836601,153,153,184,60.809248554913296,3.260869565217391,184,184,47,22.039757994814174,6.770383174877557
010404,87,26.436781609195403,24.137931034482758,87,13.793103448275861,87,43.67816091954023,87,8.045977011494253,87,1.1494252873563218,87,87,135,61.42857142857143,5.185185185185185,135,135,30,23.089171974522294,7.961783439490445
010405,31,24.733333333333334,16.129032258064516,31,19.35483870967742,31,48.38709677419355,31,9.67741935483871,31,3.225806451612903,31,31,127,63.122950819672134,7.086614173228346,127,127,36,5.482844004244782,6.3671736823487795
010501,1023,26.8685540950455,13.00097751710655,1023,7.624633431085044,1023,66.56891495601172,1023,7.429130009775171,1023,1.270772238514174,1023,1023,609,63.83673469387755,8.374384236453203,609,609,160,41.67685162551943,6.51837366577039
010502,187,26.392473118279568,26.203208556149733,187,5.882352941176471,187,48.663101604278076,187,16.577540106951872,187,1.0695187165775402,187,187,224,63.65596330275229,8.928571428571429,224,224,49,25.97222222222222,6.805555555555555
010601,1044,23.68643216080402,34.195402298850574,1044,28.256704980842912,1044,29.50191570881226,1044,5.268199233716475,1044,0.3831417624521073,1044,1044,518,63.98390342052314,6.94980694980695,518,518,129,78.3607295654132,9.682503940553929
010602,590,25.673684210526314,44.74576271186441,590,11.525423728813559,590,32.20338983050848,590,7.627118644067797,590,1.8644067796610169,590,590,406,65.18939393939394,10.344827586206897,406,406,94,69.5754716981132,11.084905660377359
010701,728,26.530085959885387,76.37362637362638,728,2.0604395604395602,728,13.04945054945055,728,4.258241758241758,728,1.098901098901099,728,728,530,63.986434108527135,9.245283018867925,530,530,109,49.48005165499898,7.408414327465507
010702,2866,23.983824586628327,75.64549895324494,2866,9.490579204466155,2866,12.595952547103977,2866,0.837404047452896,2866,0.104675505931612,2866,2866,961,61.387061403508774,5.306971904266389,961,961,268,107.28055399588246,10.031817331087405
010703,205,22.65671641791045,79.51219512195122,205,3.902439024390244,205,12.682926829268293,205,0.0,205,1.4634146341463414,205,205,238,54.25,5.882352941176471,238,238,63,12.436301868478525,3.8218878912885224
010704,815,23.138500635324014,78.8957055214724,815,3.558282208588957,815,15.337423312883436,815,0.36809815950920244,815,0.0,815,815,347,60.669669669669666,4.899135446685879,347,347,97,57.064836857582975,6.791765859123372
010801,247,24.323651452282157,10.931174089068826,247,17.813765182186234,247,52.22672064777328,247,11.336032388663968,247,2.0242914979757085,247,247,339,66.06528189910979,7.964601769911504,339,339,85,27.121994070495223,9.33347974085868
010901,101,24.90909090909091,84.15841584158416,101,4.9504950495049505,101,5.9405940594059405,101,1.9801980198019802,101,1.9801980198019802,101,101,126,64.76229508196721,7.142857142857143,126,126,34,18.790697674418606,6.325581395348837
